"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDischargeReport.body.admissionEvaluation.narrative","EHDSDischargeReport.body.admissionEvaluation.narrative","","","",0,1,"","","","string {[]} {[]}
","Narrative content of the section. This narrative shell containing either summary narrative description of all subsections, or similar narrative sub-section elements should be provided.","Narrative content of the section. This narrative shell containing either summary narrative description of all subsections, or similar narrative sub-section elements should be provided.","","","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.admissionEvaluation.narrative",0,1,"",""
"EHDSDischargeReport.body.admissionEvaluation.objectiveFindings","EHDSDischargeReport.body.admissionEvaluation.objectiveFindings","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation {[]} {[]}
","Objective findings, such as anthropometric measurements, vital signs, or objective anatomical findings of physical examination","Objective findings, such as anthropometric measurements, vital signs, or objective anatomical findings of physical examination","","eHN Guideline HDR (v1.1): A.2.4.1","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.admissionEvaluation.objectiveFindings",0,*,"",""
"EHDSDischargeReport.body.admissionEvaluation.functionalStatus","EHDSDischargeReport.body.admissionEvaluation.functionalStatus","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSFunctionalStatus {[]} {[]}
","An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being","An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being","","eHN Guideline HDR (v1.1): A.2.4.2","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.admissionEvaluation.functionalStatus",0,*,"",""
"EHDSDischargeReport.body.admissionEvaluation.note","EHDSDischargeReport.body.admissionEvaluation.note","","","",0,1,"","","","string {[]} {[]}
","Free text notes by the evaluation performer","Free text notes by the evaluation performer","","","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.admissionEvaluation.note",0,1,"",""
"EHDSDischargeReport.body.patientHistory","EHDSDischargeReport.body.patientHistory","","","",0,1,"","","","Base {[]} {[]}
","Section: Patient health history (anamnesis) containing only information that is highly relevant for this specific episode of care.","Section: Patient health history (anamnesis) containing only information that is highly relevant for this specific episode of care.","","eHN Guideline HDR (v1.1): A.2.5","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.patientHistory",0,1,"",""
"EHDSDischargeReport.body.patientHistory.narrative","EHDSDischargeReport.body.patientHistory.narrative","","","",0,1,"","","","string {[]} {[]}
","Narrative content of the section. This narrative shell containing either summary narrative description of all subsections, or similar narrative subsection elements should be provided.","Narrative content of the section. This narrative shell containing either summary narrative description of all subsections, or similar narrative subsection elements should be provided.","","","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.patientHistory.narrative",0,1,"",""
"EHDSDischargeReport.body.patientHistory.note","EHDSDischargeReport.body.patientHistory.note","","","",0,1,"","","","string {[]} {[]}
","Free text notes by the health professional","Free text notes by the health professional","","","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.patientHistory.note",0,1,"",""
"EHDSDischargeReport.body.courseOfEncounter","EHDSDischargeReport.body.courseOfEncounter","","","",0,1,"","","","Base {[]} {[]}
","Course of inpatient or outpatient encounter.","Course of inpatient or outpatient encounter.","","eHN Guideline HDR (v1.1): A.2.6","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.courseOfEncounter",0,1,"",""
"EHDSDischargeReport.body.courseOfEncounter.diagnosticSummary","EHDSDischargeReport.body.courseOfEncounter.diagnosticSummary","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition {[]} {[]}
","All problems/diagnoses that affect care during the inpatient case or are important to be recorded to ensure continuity of care. The diagnostic summary differentiates, in accordance with the international recommendation, between problems treated during hospital stay and other (untreated) problems. Treated problems are problems that were the subject of diagnostics, therapy, nursing, or (continuous) monitoring during the hospitalisation. Furthermore problems could be divided into three categories: problems present on admission (POA), conditions acquired during hospital stay (HAC) and problems that cannot be classified as being of any of the two (N/A). The diagnostic summary contains all conditions as they were recognised at the end of hospitalisation, after all examinations. This section contains concise, well specified, codeable, summary of problems. Problems are ordered by importance (main problems first) during hospital stay. Description of the problem might be completed with additional details in the medical history section and/or in the Synthesis section.","All problems/diagnoses that affect care during the inpatient case or are important to be recorded to ensure continuity of care. The diagnostic summary differentiates, in accordance with the international recommendation, between problems treated during hospital stay and other (untreated) problems. Treated problems are problems that were the subject of diagnostics, therapy, nursing, or (continuous) monitoring during the hospitalisation. Furthermore problems could be divided into three categories: problems present on admission (POA), conditions acquired during hospital stay (HAC) and problems that cannot be classified as being of any of the two (N/A). The diagnostic summary contains all conditions as they were recognised at the end of hospitalisation, after all examinations. This section contains concise, well specified, codeable, summary of problems. Problems are ordered by importance (main problems first) during hospital stay. Description of the problem might be completed with additional details in the medical history section and/or in the Synthesis section.","","eHN Guideline HDR (v1.1): A.2.6.1","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.courseOfEncounter.diagnosticSummary",0,*,"",""
"EHDSDischargeReport.body.courseOfEncounter.significantProcedures","EHDSDischargeReport.body.courseOfEncounter.significantProcedures","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure {[]} {[]}
","Significant procedures - procedures performed during encounter which are significant for continuity of care, e.g. surgeries and other instrumental interventions (endoscopic, intravascular), chemotherapy, radiotherapy, purification methods (dialysis, hemoperfusion), circulation support methods (counterpulsation, etc.), administration of blood derivatives or others. This section does not include purely diagnostic procedures (MRI, CT, etc.).","Significant procedures - procedures performed during encounter which are significant for continuity of care, e.g. surgeries and other instrumental interventions (endoscopic, intravascular), chemotherapy, radiotherapy, purification methods (dialysis, hemoperfusion), circulation support methods (counterpulsation, etc.), administration of blood derivatives or others. This section does not include purely diagnostic procedures (MRI, CT, etc.).","","eHN Guideline HDR (v1.1): A.2.6.2","","","","","","","",,,,,"",,,,"EHDSDischargeReport.body.courseOfEncounter.significantProcedures",0,*,"",""
