"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSDataSet","EHDSDataSet.header.status","EHDSDataSet.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSDataSet","EHDSDataSet.header.statusReason[x]","EHDSDataSet.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSDataSet","EHDSDataSet.header.language","EHDSDataSet.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSDataSet","EHDSDataSet.header.version","EHDSDataSet.header.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.version",0,1,"",""
"EHDSDataSet","EHDSDataSet.presentedForm","EHDSDataSet.presentedForm","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAttachment {[]} {[]}
","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.presentedForm",0,*,"",""
"EHDSDevice","EHDSDevice","EHDSDevice","","","",0,*,"","","","null {[]} {[]}
","Device model","EHDS refined base model for Device information","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSDevice","EHDSDevice.identifier","EHDSDevice.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Identifier of the device which is unique within in a defined scope. Multiple identifiers can be used.","Identifier of the device which is unique within in a defined scope. Multiple identifiers can be used.","","","","","","","","","",,,,,"",,,,"EHDSDevice.identifier",1,*,"",""
"EHDSDevice","EHDSDevice.manufacturer","EHDSDevice.manufacturer","","","",0,1,"","","","string {[]} {[]}
","Name of device manufacturer","Name of device manufacturer","","","","","","","","","",,,,,"",,,,"EHDSDevice.manufacturer",0,1,"",""
"EHDSDevice","EHDSDevice.manufactureDate","EHDSDevice.manufactureDate","","","",0,1,"","","","dateTime {[]} {[]}
","The date and time when the device was manufactured","The date and time when the device was manufactured","","","","","","","","","",,,,,"",,,,"EHDSDevice.manufactureDate",0,1,"",""
"EHDSDevice","EHDSDevice.expiryDate","EHDSDevice.expiryDate","","","",0,1,"","","","dateTime {[]} {[]}
","The date and time beyond which this device is no longer valid or should not be used (if applicable).","The date and time beyond which this device is no longer valid or should not be used (if applicable).","","","","","","","","","",,,,,"",,,,"EHDSDevice.expiryDate",0,1,"",""
"EHDSDevice","EHDSDevice.lotNumber","EHDSDevice.lotNumber","","","",0,1,"","","","string {[]} {[]}
","Lot number of manufacture","Lot number of manufacture","","","","","","","","","",,,,,"",,,,"EHDSDevice.lotNumber",0,1,"",""
"EHDSDevice","EHDSDevice.serialNumber","EHDSDevice.serialNumber","","","",0,1,"","","","string {[]} {[]}
","Serial number assigned by the manufacturer","Serial number assigned by the manufacturer","","","","","","","","","",,,,,"",,,,"EHDSDevice.serialNumber",0,1,"",""
"EHDSDevice","EHDSDevice.name","EHDSDevice.name","","","",0,*,"","","","string {[]} {[]}
","The name and name type of the device as known to the manufacturer and/or patient","The name and name type of the device as known to the manufacturer and/or patient","","","","","","","","","",,,,,"",,,,"EHDSDevice.name",0,*,"",""
"EHDSDevice","EHDSDevice.modelNumber","EHDSDevice.modelNumber","","","",0,1,"","","","string {[]} {[]}
","The manufacturer's model number for the device","The manufacturer's model number for the device","","","","","","","","","",,,,,"",,,,"EHDSDevice.modelNumber",0,1,"",""
"EHDSDevice","EHDSDevice.version","EHDSDevice.version","","","",0,1,"","","","string {[]} {[]}
","The actual design of the device or software version running on the device","The actual design of the device or software version running on the device","","","","","","","","","",,,,,"",,,,"EHDSDevice.version",0,1,"",""
"EHDSDevice","EHDSDevice.type","EHDSDevice.type","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Device type","Device type","","","","","","","","","",,"preferred","SNOMED CT, EMDN","","",,,,"EHDSDevice.type",0,*,"",""
"EHDSDevice","EHDSDevice.note","EHDSDevice.note","","","",0,*,"","","","string {[]} {[]}
","Device notes and comments","Device notes and comments","","","","","","","","","",,,,,"",,,,"EHDSDevice.note",0,*,"",""
"EHDSDispenseDecline","EHDSDispenseDecline","EHDSDispenseDecline","","","",0,*,"","","","null {[]} {[]}
","Medication dispense decline model","Explicit statement about declining the dispense request (prescription), usually recorded in order to communicate the issue back to the prescriber. Reasons for declining a dispense may vary, but typically this statement is only sent when a following action is expected on the prescriber’s side (cancelling or changing the problematic prescription or the whole treatment).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header","EHDSDispenseDecline.header","","","",1,*,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,*,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.subject","EHDSDispenseDecline.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.identifier","EHDSDispenseDecline.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.authorship","EHDSDispenseDecline.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.authorship.author[x]","EHDSDispenseDecline.header.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.authorship.datetime","EHDSDispenseDecline.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.lastUpdate","EHDSDispenseDecline.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.status","EHDSDispenseDecline.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.statusReason[x]","EHDSDispenseDecline.header.statusReason[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for not dispensing the medication","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.language","EHDSDispenseDecline.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.header.version","EHDSDispenseDecline.header.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.version",0,1,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.presentedForm","EHDSDispenseDecline.presentedForm","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAttachment {[]} {[]}
","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.presentedForm",0,*,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.relatedRequest","EHDSDispenseDecline.relatedRequest","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationPrescription {[]} {[]}
","The single-item prescription or prescription line item that was declined by the dispenser. [Used for searching]","The single-item prescription or prescription line item that was declined by the dispenser. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDispenseDecline.relatedRequest",1,*,"",""
"EHDSDispenseDecline","EHDSDispenseDecline.comment","EHDSDispenseDecline.comment","","","",0,1,"","","","string {[]} {[]}
","Additional information about why the dispensation was declined.","Additional information about why the dispensation was declined.","","","","","","","","","",,,,,"",,,,"EHDSDispenseDecline.comment",0,1,"",""
"EHDSDocument","EHDSDocument","EHDSDocument","","","",0,*,"","","","null {[]} {[]}
","Document model","EHDS refined base model for common document data elements, including the common header. Data relevant to document type and its content for administrative and searching purposes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSDocument","EHDSDocument.header","EHDSDocument.header","","","",1,*,"","","","Base {[]} {[]}
","Document header elements","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,*,"",""
"EHDSDocument","EHDSDocument.header.subject","EHDSDocument.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSDocument","EHDSDocument.header.identifier","EHDSDocument.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Document ID","Unique identifier of the document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
